text,intent,language
मी कोणते पीक केंद्रावर घेऊन जाऊ?,CROP_INFO,mr
Can you tell my token?,TOKEN_NUMBER,hinglish
Tell me the token assigned to me,TOKEN_NUMBER,en
Kya mera slot book hua hai?,BOOKING_STATUS,hinglish
Kya confirmed slot cancel kar sakte hain?,CANCEL_BOOKING,hi_roman
Slot bookingchi paddhat sanga,BOOKING_HELP,mr_roman
आप क्या-क्या कर सकते हैं?,HELP,hi
Mera number kaunsa hai?,TOKEN_NUMBER,hi_roman
Tell me the crop I selected,CROP_INFO,en
Chatbot kaise use karna hai?,HELP,hinglish
माझ्या पुढे किती शेतकरी आहेत?,QUEUE_POSITION,mr
Kaunsa token abhi active hai?,CURRENT_SERVING,hi_roman
Majhya tokenchya pudhe kiti lok aahet?,QUEUE_POSITION,mr_roman
Can you tell me my crop?,CROP_INFO,en
Procurement slot kaise reserve karein?,BOOKING_HELP,hinglish
मेरा खरीद केंद्र कौन सा है?,CENTRE_INFO,hi
Who is being served currently?,CURRENT_SERVING,en
Current serving token batao,CURRENT_SERVING,hi_roman
Meri booked fasal batao,CROP_INFO,hi_roman
Aap kaunsi services dete hain?,HELP,hi_roman
बुकिंग कैंसल करनी है,CANCEL_BOOKING,hi
Mi konte peek centrevar gheun jau?,CROP_INFO,mr_roman
क्या मेरी खरीद बुकिंग कन्फर्म है?,BOOKING_STATUS,hi
Check where I stand in the queue,QUEUE_POSITION,en
क्या मेरी बुकिंग एक्टिव है?,BOOKING_STATUS,hi
Maza token number kuthe aahe?,TOKEN_NUMBER,mr_roman
Maine kya fasal book ki hai?,CROP_INFO,hi_roman
How far am I from my turn?,QUEUE_POSITION,en
मुझे मदद चाहिए,GREETING,hi
Booking cancel karaychi aahe,CANCEL_BOOKING,mr_roman
Main apni fasal kahan le jaaun?,CENTRE_INFO,hi_roman
Kya meri bari jaldi aayegi?,WAITING_TIME,hi_roman
बताइए मेरी बुकिंग कन्फर्म है या नहीं,BOOKING_STATUS,hi
How can I see my token?,TOKEN_NUMBER,hinglish
अनुमानित प्रतीक्षा समय क्या है?,WAITING_TIME,hi
माझ्या बुकिंगबद्दल सांगा,BOOKING_STATUS,mr
Meri booking remove karni hai,CANCEL_BOOKING,hinglish
Majhya bookingmadhe konte peek aahe?,CROP_INFO,mr_roman
Kontya kharedi kendravar jayche?,CENTRE_INFO,mr_roman
मला कोणता टोकन मिळाला आहे?,TOKEN_NUMBER,mr
Majhi pali lavkar yeil ka?,WAITING_TIME,mr_roman
Mera current booking status batao,BOOKING_STATUS,hi_roman
काउंटरवर कोणता टोकन आहे?,CURRENT_SERVING,mr
मेरी स्लॉट बुकिंग पक्की है?,BOOKING_STATUS,hi
Tumhi kay kay karu shakta?,HELP,mr_roman
सध्या कोणता टोकन सर्व्ह होत आहे?,CURRENT_SERVING,mr
मेरी फसल की जानकारी दो,CROP_INFO,hi
मदद करो,HELP,hi
रांगेतील माझी स्थिती सांगा,QUEUE_POSITION,mr
Booking start kaha se karein?,BOOKING_HELP,hinglish
What is happening with my booking?,BOOKING_STATUS,en
Which crop is in my booking?,CROP_INFO,en
How to cancel a procurement slot?,CANCEL_BOOKING,hinglish
माझ्या बुकिंगमध्ये कोणते धान्य आहे?,CROP_INFO,mr
Namaskar chatbot,GREETING,hi_roman
मुझे कब तक इंतजार करना पड़ेगा?,WAITING_TIME,hi
मेरा अनुमानित इंतजार बताओ,WAITING_TIME,hi
Kitne log mujhse aage hain?,QUEUE_POSITION,hi_roman
Ha assistant majhi kashi madat karel?,HELP,mr_roman
Mera current queue number kya hai?,QUEUE_POSITION,hi_roman
बुकिंग कैसे डिलीट करें?,CANCEL_BOOKING,hi
Which crop is assigned to my slot?,CROP_INFO,en
Procurement slot kasa radd karaycha?,CANCEL_BOOKING,mr_roman
Can you tell me the wait time?,WAITING_TIME,en
Mujhe mera token bataiye,TOKEN_NUMBER,hi_roman
माझी बुकिंग अॅक्टिव्ह आहे का?,BOOKING_STATUS,mr
क्या मेरी बुकिंग कन्फर्म है?,BOOKING_STATUS,hi
Kitne minutes remaining hain?,WAITING_TIME,hinglish
Good day,GREETING,en
माझा टोकन किती वेळात येईल?,WAITING_TIME,mr
Konte kagad aanayche?,DOCUMENTS,mr_roman
मेरी बुकिंग का टोकन क्या है?,TOKEN_NUMBER,hi
Please tell required documents,DOCUMENTS,hinglish
मुझे कितने मिनट इंतजार करना होगा?,WAITING_TIME,hi
Slot kasa book karaycha?,BOOKING_HELP,mr_roman
वेटिंग टाइम हवा आहे,WAITING_TIME,mr
What happened to my booking?,BOOKING_STATUS,en
माझी पाळी कधी येईल?,WAITING_TIME,mr
Which documents do I need?,DOCUMENTS,en
खरेदीची वेळ कशी निवडायची?,BOOKING_HELP,mr
Can you explain how to book?,BOOKING_HELP,en
मी माझा टोकन कुठे पाहू शकतो?,TOKEN_NUMBER,mr
Meri booking successful hui hai?,BOOKING_STATUS,hi_roman
मेरा टोकन कितनी देर में आएगा?,WAITING_TIME,hi
How can this assistant help me?,HELP,en
How many people are in front of me?,QUEUE_POSITION,en
मैं कौन से सवाल पूछ सकता हूँ?,HELP,hi
Mera procurement centre batao,CENTRE_INFO,hi_roman
Token number bataiye,TOKEN_NUMBER,hi_roman
Majhi slot booking pakki aahe ka?,BOOKING_STATUS,mr_roman
क्या मेरा स्लॉट कन्फर्म हुआ है?,BOOKING_STATUS,hi
Hello ji,GREETING,hi_roman
Where can I see my token?,TOKEN_NUMBER,en
Meri booking confirm hai ya nahi batao,BOOKING_STATUS,hi_roman
Abhi kis farmer ki turn hai?,CURRENT_SERVING,hinglish
प्रोक्योरमेंट टोकन कैसे मिलेगा?,BOOKING_HELP,hi
Documents chahiye,DOCUMENTS,hi_roman
Please help me book,BOOKING_HELP,hinglish
Namaskar chatbot,GREETING,mr_roman
प्रोक्योरमेंट स्लॉट कसा बुक करायचा?,BOOKING_HELP,mr
क्या आप मेरी मदद कर सकते हैं?,GREETING,hi
Token currently running kaunsa hai?,CURRENT_SERVING,hinglish
यह चैटबॉट कैसे इस्तेमाल करें?,HELP,hi
Shubh din,GREETING,hi_roman
Majhi booking dakhva,BOOKING_STATUS,mr_roman
Hello assistant,GREETING,mr_roman
Mala konte purave anayche?,DOCUMENTS,mr_roman
तुम्ही माझे पीक सांगू शकता का?,CROP_INFO,mr
Mera centre dikhao,CENTRE_INFO,hi_roman
Please show my booking token,TOKEN_NUMBER,en
Mujhe kitni der wait karna hoga?,WAITING_TIME,hi_roman
Mujhe booking mein help chahiye,BOOKING_HELP,hi_roman
Hey,GREETING,hinglish
Kya aap mera centre bata sakte hain?,CENTRE_INFO,hi_roman
मी किती वेळात सर्व्ह होईन?,WAITING_TIME,mr
Majhya tokenchi mahiti havi aahe,TOKEN_NUMBER,mr_roman
Centre par kaunse papers submit karne hain?,DOCUMENTS,hinglish
मेरे केंद्र का नाम बताइए,CENTRE_INFO,hi
सध्याचा टोकन कोणता आहे?,CURRENT_SERVING,mr
Konte papers anave lagtil?,DOCUMENTS,mr_roman
Now serving token batao,CURRENT_SERVING,hi_roman
Main apni crop ka slot kaise book karun?,BOOKING_HELP,hi_roman
Required documents please,DOCUMENTS,en
नमस्ते चैटबॉट,GREETING,hi
नमस्कार जी,GREETING,mr
Majhyapudhe kiti jan aahet?,QUEUE_POSITION,mr_roman
Procurement ke liye kya docs chahiye?,DOCUMENTS,hinglish
अभी कितना इंतजार है?,WAITING_TIME,hi
तुम्ही माझ्या बुकिंगमध्ये मदत करू शकता का?,HELP,mr
क्या मैं ऐप से स्लॉट बुक कर सकता हूँ?,BOOKING_HELP,hi
Meri token ki waiting kitni hai?,WAITING_TIME,hinglish
माझे नियुक्त खरेदी केंद्र कोणते आहे?,CENTRE_INFO,mr
Mi kharedisathi kay book kele?,CROP_INFO,mr_roman
What token is currently running?,CURRENT_SERVING,en
हाय,GREETING,mr
आणखी किती वेळ थांबायचे?,WAITING_TIME,mr
Which crop is linked to my booking?,CROP_INFO,hinglish
मेरी बुकिंग में कौन सी फसल दर्ज है?,CROP_INFO,hi
माझ्यासाठी कोणते पीक निवडले आहे?,CROP_INFO,mr
टोकन सर्व्ह होण्यासाठी किती वेळ आहे?,WAITING_TIME,mr
क्या कन्फर्म स्लॉट कैंसल कर सकते हैं?,CANCEL_BOOKING,hi
What token is being served now?,CURRENT_SERVING,en
Which centre should I go to?,CENTRE_INFO,hinglish
मैं अपनी फसल का स्लॉट कैसे बुक करूं?,BOOKING_HELP,hi
Slot reserve karna hai,BOOKING_HELP,hinglish
What position am I in the queue?,QUEUE_POSITION,en
मुझे अपना टोकन चाहिए,TOKEN_NUMBER,hi
Procurement booking cancel karni hai,CANCEL_BOOKING,hinglish
Mujhe help chahiye,HELP,hinglish
Mujhe kya carry karna hai?,DOCUMENTS,hinglish
I need to cancel my slot,CANCEL_BOOKING,en
Slot ka status kya hai?,BOOKING_STATUS,hinglish
Mera centre ka naam kya hai?,CENTRE_INFO,hinglish
मेरा केंद्र कहाँ है?,CENTRE_INFO,hi
स्लॉट बुकिंग हेल्प,BOOKING_HELP,hi
माझी पाळी कधी येणार?,WAITING_TIME,mr
कौन से केंद्र पर रिपोर्ट करना है?,CENTRE_INFO,hi
Booking process batao,BOOKING_HELP,hinglish
स्लॉट बुक करण्यासाठी मदत करा,BOOKING_HELP,mr
Mala konti kagadpatre havi aahet?,DOCUMENTS,mr_roman
Kitne log mujhse aage hain?,QUEUE_POSITION,hinglish
My token number,TOKEN_NUMBER,en
Current serving number please,CURRENT_SERVING,en
Booking process batao,BOOKING_HELP,hi_roman
Meri booking ka centre kaunsa hai?,CENTRE_INFO,hi_roman
Meri booking ka number kya hai?,TOKEN_NUMBER,hi_roman
मेरी बुक की गई फसल बताओ,CROP_INFO,hi
Aatta konta token bolavla aahe?,CURRENT_SERVING,mr_roman
मैं कितनी देर में सर्व हो जाऊंगा?,WAITING_TIME,hi
Waiting time chahiye,WAITING_TIME,hi_roman
आत्ता कोणता टोकन बोलावला आहे?,CURRENT_SERVING,mr
What should I bring?,DOCUMENTS,hinglish
नवीन बुकिंग कशी करायची?,BOOKING_HELP,mr
Namaskar,GREETING,hinglish
मला बुकिंग कॅन्सलेशनची मदत हवी आहे,CANCEL_BOOKING,mr
Please cancel my booking,CANCEL_BOOKING,hinglish
मैं अपनी बुकिंग कैसे रद्द करूं?,CANCEL_BOOKING,hi
Majha token number kay aahe?,TOKEN_NUMBER,mr_roman
Ya veli konta token active aahe?,CURRENT_SERVING,mr_roman
तुम्ही माझी कशी मदत करू शकता?,HELP,mr
तुम्ही काय करू शकता?,HELP,mr
सध्या कोणता टोकन चालू आहे?,CURRENT_SERVING,mr
Crop ka naam batao,CROP_INFO,hinglish
Assigned centre check karo,CENTRE_INFO,hinglish
Madatiche options dakhva,HELP,mr_roman
Mera slot sahi hai?,BOOKING_STATUS,hi_roman
Required documents batao,DOCUMENTS,hinglish
Mujhe kaunse papers chahiye?,DOCUMENTS,hi_roman
माझी बुकिंग कशी रद्द करायची?,CANCEL_BOOKING,mr
Maze assigned kharedi kendra konte aahe?,CENTRE_INFO,mr_roman
कितने लोग मुझसे आगे हैं?,QUEUE_POSITION,hi
बुकिंग कशी करायची?,BOOKING_HELP,mr
अभी कौन सा टोकन प्रोसेस हो रहा है?,CURRENT_SERVING,hi
Procurement slot kasa book karaycha?,BOOKING_HELP,mr_roman
माझे रिझर्वेशन कॅन्सल करायचे आहे,CANCEL_BOOKING,mr
Cancel karne ke liye kya karna hoga?,CANCEL_BOOKING,hi_roman
माझ्या पुढे किती लोक आहेत?,QUEUE_POSITION,mr
Meri turn kab aayegi?,WAITING_TIME,hinglish
माझ्या पिकासाठी कोणते कागद लागतात?,DOCUMENTS,mr
तुम्ही कोणती माहिती देऊ शकता?,HELP,mr
What crop did I register?,CROP_INFO,en
मेरी बुकिंग का क्या हुआ?,BOOKING_STATUS,hi
Sadhyachya tokenchi mahiti dya,CURRENT_SERVING,mr_roman
Where should I take my crop?,CENTRE_INFO,en
Majhi booking confirm aahe ka te sanga,BOOKING_STATUS,mr_roman
Meri booking ki crop dikhao,CROP_INFO,hi_roman
New booking kaise banani hai?,BOOKING_HELP,hinglish
Majhya pikachi kharedi kuthe hoil?,CENTRE_INFO,mr_roman
Majha token konta aahe?,TOKEN_NUMBER,mr_roman
ID proof chahiye kya?,DOCUMENTS,hinglish
Shubh dupar,GREETING,mr_roman
माझ्यासाठी कोणते केंद्र निवडले आहे?,CENTRE_INFO,mr
माझे खरेदी केंद्र कोणते आहे?,CENTRE_INFO,mr
Hello assistant,GREETING,en
How much time is left?,WAITING_TIME,en
Tell me the required documents,DOCUMENTS,en
Which farmer token is currently in service?,CURRENT_SERVING,en
Procurement booking kaise karein?,BOOKING_HELP,hinglish
Majhya booking centreche nav kay aahe?,CENTRE_INFO,mr_roman
Yeh booking hatani hai,CANCEL_BOOKING,hi_roman
What should I carry to the centre?,DOCUMENTS,en
Mala kuthe jayche aahe?,CENTRE_INFO,mr_roman
खरीद के लिए कौन से दस्तावेज चाहिए?,DOCUMENTS,hi
मेरा स्लॉट बुक हुआ है क्या?,BOOKING_STATUS,hi
Mere token ke saath kaunsi crop hai?,CROP_INFO,hinglish
कौन से दस्तावेज आवश्यक हैं?,DOCUMENTS,hi
Chat suru kara,GREETING,mr_roman
Abhi kitna wait hai?,WAITING_TIME,hi_roman
Hi there,GREETING,hinglish
Kya meri booking active hai?,BOOKING_STATUS,hi_roman
Slot kasa reserve karaycha?,BOOKING_HELP,mr_roman
How do I remove this booking?,CANCEL_BOOKING,hinglish
Status of my booking please,BOOKING_STATUS,hinglish
Can you check my queue?,QUEUE_POSITION,hinglish
रांगेत माझा नंबर कितवा आहे?,QUEUE_POSITION,mr
Meri line ki position batao,QUEUE_POSITION,hi_roman
हाय असिस्टेंट,GREETING,hi
Mi app madhun slot book karu shakto ka?,BOOKING_HELP,mr_roman
Majhya bookingcha token kay aahe?,TOKEN_NUMBER,mr_roman
What crop is in my booking?,CROP_INFO,hinglish
मेरा टोकन नंबर चाहिए,TOKEN_NUMBER,hi
मी कोणते उत्पादन बुक केले?,CROP_INFO,mr
स्लॉट कॅन्सल करण्याची पद्धत सांगा,CANCEL_BOOKING,mr
Majhi booking ajun valid aahe ka?,BOOKING_STATUS,mr_roman
QueueKisan mein kya help milegi?,HELP,hinglish
Majhya pikासाठी konte kagad lagtat?,DOCUMENTS,mr_roman
मेरा नियुक्त खरीद केंद्र क्या है?,CENTRE_INFO,hi
Majhya bookingcha number konta aahe?,TOKEN_NUMBER,mr_roman
Show me how to book a slot,BOOKING_HELP,en
माझा स्लॉट बुक झाला आहे का?,BOOKING_STATUS,mr
Maza centre dakhva,CENTRE_INFO,mr_roman
Which documents are necessary?,DOCUMENTS,hinglish
क्या मेरी बुकिंग चालू है?,BOOKING_STATUS,hi
माझ्या बुकिंगची स्थिती काय आहे?,BOOKING_STATUS,mr
माझी बुकिंग कॅन्सल करा,CANCEL_BOOKING,mr
Jo token sadhya chalu aahe to konta?,CURRENT_SERVING,mr_roman
How can I register for a slot?,BOOKING_HELP,en
Now kaunsa token chal raha hai?,CURRENT_SERVING,hinglish
मी कोणते पीक नोंदवले आहे?,CROP_INFO,mr
माझा सध्याचा क्यू नंबर काय आहे?,QUEUE_POSITION,mr
Centervar konti kagadpatre lagtil?,DOCUMENTS,mr_roman
शुभ दुपार,GREETING,mr
क्या मेरा स्लॉट मंजूर हुआ है?,BOOKING_STATUS,hi
Rangeet maza number kiti aahe?,QUEUE_POSITION,mr_roman
Check the current serving token,CURRENT_SERVING,en
Tumhi konti mahiti deu shakta?,HELP,mr_roman
Meri reservation status batao,BOOKING_STATUS,hi_roman
Abhi kaunsa token serve ho raha hai?,CURRENT_SERVING,hi_roman
मेरा टोकन नंबर कहाँ है?,TOKEN_NUMBER,hi
Can you tell my waiting time?,WAITING_TIME,hinglish
Sadhyacha token hava aahe,CURRENT_SERVING,mr_roman
Maza centre kuthe aahe?,CENTRE_INFO,mr_roman
Mi slot kasa reserve karu?,BOOKING_HELP,mr_roman
आवश्यक कागद सांगा,DOCUMENTS,mr
पिकाची माहिती हवी आहे,CROP_INFO,mr
कोणता टोकन अॅक्टिव्ह आहे?,CURRENT_SERVING,mr
Mujhe kab tak rukna padega?,WAITING_TIME,hinglish
Kya aap meri help kar sakte hain?,GREETING,hi_roman
Hi,GREETING,en
Mere liye kaunsa market centre hai?,CENTRE_INFO,hi_roman
Booking kashi delete karaychi?,CANCEL_BOOKING,mr_roman
Meri booking ka status kya hai?,BOOKING_STATUS,hinglish
Queue mein meri jagah dikhao,QUEUE_POSITION,hi_roman
मला स्लॉट बुक करायचा आहे,BOOKING_HELP,mr
माझी क्यू पोजीशन काय आहे?,QUEUE_POSITION,mr
Abhi kaunsa number call hua?,CURRENT_SERVING,hinglish
Documents list batao,DOCUMENTS,hinglish
वर्तमान टोकन चाहिए,CURRENT_SERVING,hi
Hello chatbot,GREETING,en
मी कोणते पीक बुक केले?,CROP_INFO,mr
When will my token be called?,WAITING_TIME,hinglish
स्लॉट कुठून बुक होईल?,BOOKING_HELP,mr
Meri booking dikhao,BOOKING_STATUS,hi_roman
Kitna time baki hai?,WAITING_TIME,hi_roman
स्लॉट बुक करने में मदद चाहिए,BOOKING_HELP,hi
मैं यहाँ हूँ,GREETING,hi
Mere aage kitne log hain?,QUEUE_POSITION,hi_roman
How long before my number?,WAITING_TIME,hinglish
Now serving number chahiye,CURRENT_SERVING,hinglish
Majhya slot sathi konte peek aahe?,CROP_INFO,mr_roman
What should I do to cancel?,CANCEL_BOOKING,en
Majhi booking yashasvi zali ka?,BOOKING_STATUS,mr_roman
When should I expect my turn?,WAITING_TIME,en
Hello sir,GREETING,en
Please help me with slot booking,BOOKING_HELP,en
Kaunse documents chahiye?,DOCUMENTS,hi_roman
Apna slot kaise cancel karein?,CANCEL_BOOKING,hi_roman
Meri centre information chahiye,CENTRE_INFO,hi_roman
मेरा स्लॉट सही है या नहीं?,BOOKING_STATUS,hi
माझा नंबर कधी बोलावला जाईल?,WAITING_TIME,mr
Booking cancel karni hai,CANCEL_BOOKING,hi_roman
Meri booking ka status kya hai?,BOOKING_STATUS,hi_roman
तुम्ही काय करू शकता?,HELP,mr
माझी बुकिंग कॅन्सल करण्यासाठी मदत करा,CANCEL_BOOKING,mr
Meri turn se pehle kitne kisan hain?,QUEUE_POSITION,hinglish
Is my turn coming soon?,WAITING_TIME,en
Hi sir,GREETING,hinglish
Mujhe kitne minutes wait karna hoga?,WAITING_TIME,hi_roman
Waiting time hava aahe,WAITING_TIME,mr_roman
What is the current status of my slot?,BOOKING_STATUS,en
Tell me my booked crop,CROP_INFO,en
Hi assistant,GREETING,hi_roman
How can you help me?,HELP,hinglish
My waiting time please,WAITING_TIME,en
Procurement time kaise choose karu?,BOOKING_HELP,hinglish
माझ्या बुकिंगचे पीक दाखवा,CROP_INFO,mr
Aap farmers ki kaise help karte hain?,HELP,hi_roman
Mera market centre kaunsa hai?,CENTRE_INFO,hinglish
मेरी बुकिंग का हाल बताओ,BOOKING_STATUS,hi
Abhi kaunse token ki service ho rahi hai?,CURRENT_SERVING,hi_roman
कौन से दस्तावेज तैयार रखें?,DOCUMENTS,hi
Madatiche options dakhva,HELP,mr_roman
माझ्या आधी किती लोकांची पाळी आहे?,QUEUE_POSITION,mr
Kya mujhe koi documents laane honge?,DOCUMENTS,hi_roman
Line mein meri jagah kya hai?,QUEUE_POSITION,hi_roman
माझा प्रतीक्षा वेळ किती आहे?,WAITING_TIME,mr
Show my place in the queue,QUEUE_POSITION,en
Mala madat havi aahe,HELP,mr_roman
Meri fasal ke liye kaunse papers chahiye?,DOCUMENTS,hi_roman
Mera estimated wait batao,WAITING_TIME,hinglish
How many farmers mere aage hain?,QUEUE_POSITION,hinglish
Majhya centrechi mahiti havi aahe,CENTRE_INFO,mr_roman
माझ्या केंद्राचे नाव सांगा,CENTRE_INFO,mr
मुझे किस केंद्र पर जाना है?,CENTRE_INFO,hi
Mere liye kaunsi crop select hui hai?,CROP_INFO,hi_roman
Namaskar,GREETING,mr_roman
Current token sanga,CURRENT_SERVING,mr_roman
Please tell my crop,CROP_INFO,hinglish
Majhya bookingchi mahiti sanga,BOOKING_STATUS,mr_roman
What is the centre for my booking?,CENTRE_INFO,en
माझी क्यू पोजीशन तपासा,QUEUE_POSITION,mr
Booking ke liye mera token kya hai?,TOKEN_NUMBER,hi_roman
Kya mera slot confirm hua hai?,BOOKING_STATUS,hi_roman
When will my number be called?,WAITING_TIME,en
Has my slot been approved?,BOOKING_STATUS,en
Meri fasal bataiye,CROP_INFO,hi_roman
Kagadpatranchi mahiti havi aahe,DOCUMENTS,mr_roman
How many farmers are before me?,QUEUE_POSITION,en
How many minutes till my turn?,WAITING_TIME,hinglish
नमस्कार चॅटबॉट,GREETING,mr
कोणती कागदपत्रे तयार ठेवावी?,DOCUMENTS,mr
ओळखपत्र लागते का?,DOCUMENTS,mr
मेरा इंतजार का समय कितना है?,WAITING_TIME,hi
Mala booking cancellationchi madat havi aahe,CANCEL_BOOKING,mr_roman
सध्या कोणता टोकन प्रोसेस होत आहे?,CURRENT_SERVING,mr
वर्तमान टोकन की जानकारी दो,CURRENT_SERVING,hi
स्लॉट बुकिंगसाठी मदत हवी आहे,BOOKING_HELP,mr
Can I cancel my booking?,CANCEL_BOOKING,en
Which market centre should I visit?,CENTRE_INFO,en
Mala support hava aahe,HELP,mr_roman
Kya mera slot book hua hai?,BOOKING_STATUS,hi_roman
Can I book from the app?,BOOKING_HELP,hinglish
Queue madhye majhi jaga konti?,QUEUE_POSITION,mr_roman
माझ्या बुकिंग सेंटरचे नाव काय आहे?,CENTRE_INFO,mr
मैं अपना टोकन कैसे देखूं?,TOKEN_NUMBER,hi
मला अजून किती वेळ थांबावे लागेल?,WAITING_TIME,mr
Hello sir,GREETING,hi_roman
नमस्ते,GREETING,hi
Abhi kaunsa token process ho raha hai?,CURRENT_SERVING,hi_roman
Queue mein meri jagah kya hai?,QUEUE_POSITION,hinglish
Booking status hava aahe,BOOKING_STATUS,mr_roman
Majhi booking confirm aahe ka?,BOOKING_STATUS,mr_roman
Majhya bookingbaddal sanga,BOOKING_STATUS,mr_roman
आप किसानों की कैसे मदद करते हैं?,HELP,hi
I want to schedule a slot,BOOKING_HELP,en
What can you do?,HELP,en
Abhi kaunsa number chal raha hai?,CURRENT_SERVING,hi_roman
Radd karanyachi prakriya kay aahe?,CANCEL_BOOKING,mr_roman
Majha waiting time kiti aahe?,WAITING_TIME,mr_roman
Majhya current bookingchi sthiti sanga,BOOKING_STATUS,mr_roman
Meri fasal ki procurement kahan hogi?,CENTRE_INFO,hi_roman
Where can I book?,BOOKING_HELP,hinglish
Tell me how long I need to wait,WAITING_TIME,en
या वेळी कोणता नंबर घेतला जात आहे?,CURRENT_SERVING,mr
Slot cancellation ka method batao,CANCEL_BOOKING,hinglish
बुकिंग स्टेटस हवा आहे,BOOKING_STATUS,mr
My queue position please,QUEUE_POSITION,en
Kaha jaana hai procurement ke liye?,CENTRE_INFO,hinglish
Hey,GREETING,en
Majhya pudhe kiti token aahet?,QUEUE_POSITION,mr_roman
Tumhi maze peek sangu shakta ka?,CROP_INFO,mr_roman
Which crop did I book?,CROP_INFO,hinglish
बुकिंग कॅन्सल करायची आहे,CANCEL_BOOKING,mr
Procurement time kaise choose karun?,BOOKING_HELP,hi_roman
Hi,GREETING,hinglish
Booking kahan se cancel hogi?,CANCEL_BOOKING,hinglish
Majhya bookingche peek dakhva,CROP_INFO,mr_roman
मेरी बारी कब होगी?,WAITING_TIME,hi
माझ्या टोकनशी कोणते पीक जोडले आहे?,CROP_INFO,mr
Mala maza token number hava aahe,TOKEN_NUMBER,mr_roman
दस्तावेजों की जानकारी चाहिए,DOCUMENTS,hi
Centre par kya documents leke jaun?,DOCUMENTS,hinglish
How many people are ahead of my token?,QUEUE_POSITION,en
Booking cancel karni hai,CANCEL_BOOKING,hinglish
Which centre do I report to?,CENTRE_INFO,en
Mujhe help chahiye,GREETING,hinglish
